LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
117,0503,50,ASGAM,Bischöfliches Generalvikariat,Tilgung Darlehen Sonderkindergarten Arche,1810.0,0.0,0.0,1810.0,1810.0,0.0,0.0,1810.0,dem Grunde nach,31.12.2027
118,0503,50,ASGAM,Alexianer Johannistift GmbH,"Treffpunkt ""An der Clemenskirche""",13010.0,11710.0,0.0,1300.0,13240.0,11940.0,0.0,1300.0,dem Grunde nach,31.12.2030
119,0503,50,ASGAM,Kassenärztliche Vereinigung Westfalen- Lippe,Aufsuchende Krankenpflege Wohnungsloser,35100.0,0.0,0.0,35100.0,35100.0,0.0,0.0,35100.0,dem Grunde nach,31.12.2029
120,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Sozialdienst Wohnungsnotfälle,20280.0,20280.0,0.0,0.0,20690.0,20690.0,0.0,0.0,dem Grunde nach,31.12.2033
121,0503,50,ASGAM,Caritasverband für die Stadt Münster,Sozialdienst Wohnungsnotfälle,85365.0,81100.0,0.0,4265.0,86985.0,82720.0,0.0,4265.0,dem Grunde nach,31.12.2033
122,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Sozialdienst Wohnungsnotfälle,27030.0,27030.0,0.0,0.0,27570.0,27570.0,0.0,0.0,dem Grunde nach,31.12.2033
123,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Beratung für Personen außerhalb des Hilfeplanverfahrens Sozialdienst Wohnungsnotfälle,42660.0,38580.0,0.0,4080.0,0.0,0.0,0.0,0.0,freiwillig,31.12.2026
124,0503,50,ASGAM,Caritasverband für die Stadt Münster,Beratung für Personen außerhalb des Hilfeplanverfahrens Sozialdienst Wohnungsnotfälle,85350.0,77190.0,0.0,8160.0,0.0,0.0,0.0,0.0,freiwillig,31.12.2026
125,0503,50,ASGAM,Dach überm Kopf e.V.,Wohnraumberatung und Unterstützung bei Wohnproblemen,78710.0,68990.0,0.0,9720.0,80090.0,70370.0,0.0,9720.0,dem Grunde nach,31.12.2029
126,0503,50,ASGAM,Diakonie Münster - Stationäre Seniorendienste GmbH,Quartiersentwicklung Handorf,35630.0,31280.0,0.0,4350.0,43910.0,40560.0,0.0,3350.0,dem Grunde nach,31.12.2031
127,0503,50,ASGAM,Telefonseelsorge Münster,Aus- und Fortbildung Ehrenamtlicher,51520.0,51520.0,0.0,0.0,52550.0,52550.0,0.0,0.0,dem Grunde nach,31.12.2033
128,0503,50,ASGAM,Jüdische Gemeinde Münster,Sozialarbeit und Beratung,30570.0,26690.0,0.0,3880.0,31100.0,27220.0,0.0,3880.0,dem Grunde nach,31.12.2033
129,0503,50,ASGAM,Caritasverband für die Stadt Münster,Bahnhofsmission,184400.0,134400.0,0.0,50000.0,187090.0,137090.0,0.0,50000.0,dem Grunde nach,31.12.2031
130,0503,50,ASGAM,Chance e.V.,Institutioneller Zuschuss,205650.0,164440.0,0.0,41210.0,208940.0,167730.0,0.0,41210.0,dem Grunde nach,31.12.2031
131,0503,50,ASGAM,Soziokultur Achtermannstraße e.V.,Sozialhilfeberatung,199820.0,178580.0,0.0,21240.0,203390.0,182150.0,0.0,21240.0,dem Grunde nach,31.12.2030
132,0503,50,ASGAM,Hospizbewegung Münster e.V.,Hospizbewegung,51110.0,39760.0,0.0,11350.0,51910.0,40560.0,0.0,11350.0,dem Grunde nach,31.12.2032
133,0503,50,ASGAM,Soziokultur Achtermannstraße e.V.,Arbeitslosenberatung,60420.0,54940.0,0.0,5480.0,61520.0,56040.0,0.0,5480.0,dem Grunde nach,31.12.2030
