section;source_file;pdf_page;printed_page;kind;year;code;label;level;unit;ordentliche_ertraege;ordentliche_aufwendungen;ordentliches_ergebnis;finanzergebnis;ergebnis_laufende_verwaltung;ausserordentliches_ergebnis;ergebnis_teilhaushalt;einzahlungen_laufend;auszahlungen_laufend;saldo_laufend;einzahlungen_investitionen;auszahlungen_investitionen;saldo_investitionen;finanzmittelueberschuss_fehlbetrag;einzahlungen_finanzierung;auszahlungen_finanzierung;saldo_finanzierung;verpflichtungsermaechtigungen
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;1701;Rechtlich unselbständige Stiftungen;product_group;EUR;17000.00;31680.00;-14680.00;;-14680.00;;-14680.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;17;Stiftungen;product_area;EUR;17000.00;31680.00;-14680.00;;-14680.00;;-14680.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;73;69;ergebnisplanung;2026;Summe;Summe;total;EUR;1660850270.00;1686533180.00;-25682910.00;-21082120.00;-46765030.00;;-46765030.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0101;Bezirksvertretungen/frei verfügb. Mittel;product_group;EUR;;404560.00;-404560.00;;-404560.00;;-404560.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0102;GF für polit. Gremien, internat. Beziehungen;product_group;EUR;267850.00;5885500.00;-5617650.00;;-5617650.00;;-5617650.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0103;OB, BM und Verwaltungsführung;product_group;EUR;221860.00;9224940.00;-9003080.00;;-9003080.00;;-9003080.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0104;Gleichstellung aller Geschlechter;product_group;EUR;4370.00;2272360.00;-2267990.00;;-2267990.00;;-2267990.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0105;Personal- u. Schwerbehindertenvertretung;product_group;EUR;211350.00;2074440.00;-1863090.00;;-1863090.00;;-1863090.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0106;Wirtschaftlichkeitsprüfung und Revision;product_group;EUR;63180.00;2162740.00;-2099560.00;;-2099560.00;;-2099560.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0107;Public Relations;product_group;EUR;62060.00;1831220.00;-1769160.00;;-1769160.00;;-1769160.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0108;Personal- und Organisationsmanagement;product_group;EUR;3154710.00;24477330.00;-21322620.00;;-21322620.00;;-21322620.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;74;70;ergebnisplanung;2027;0109;Finanz- und Beteiligungsmanagement;product_group;EUR;2003200.00;16381270.00;-14378070.00;;-14378070.00;;-14378070.00;;;;;;;;;;;
